cell	scenario	replicate	seed	target_rho	reference_rho	analysis_samples	reference_samples	blocks	variants_per_block	binary_sha256	realized_causal_pair_ld	factor_nA	factor_nB	factor_cross_set_max_r2	factor_beta1	factor_beta2	factor_conjunction_p	factor_min_log_BF	factor_log_e_mediation	factor_log_BF_heterogeneity_MY	regional_PP_shared	regional_PP_distinct	regional_independent_shared_signals	mediation_identifiability	factor_two_stage_status	factor_mediation_status	factor_frequentist_status	factor_ebh_status
mismatch_high_to_moderate	same_variant_pleiotropy	48	22460952	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	7.0	0.0	0.740673	0.463198	0.092919	2.520718	0.376032	-2.026782	0.996808	0.000144	1.0	UNRESOLVED_SINGLE_SHARED_SIGNAL	TWO_STAGE_EVIDENCE	UNRESOLVED_SINGLE_SHARED_SIGNAL	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	49	22460953	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	6.0	0.0	0.726798	0.650837	0.296263	1.945459	-0.865918	-1.893616	0.999801	2.1e-05	1.0	UNRESOLVED_SINGLE_SHARED_SIGNAL	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	50	22460954	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	10.0	0.0	0.926805	0.359838	0.091084	2.777221	0.11636	-1.946169	0.0	0.938609	0.0	LD_DISTINCT_SUPPORTED	TWO_STAGE_EVIDENCE	REJECTED_DISTINCT_REGIONAL_SIGNALS	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	51	22460955	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	8.0	0.0	0.698754	0.516744	0.215026	1.98413	-0.520145	-2.136412	0.990047	0.008347	1.0	UNRESOLVED_SINGLE_SHARED_SIGNAL	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	52	22460956	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	8.0	0.0	0.742373	0.553459	0.017267	2.677968	2.174694	-2.226879	0.034449	0.501772	0.0	LD_CONFIGURATION_AMBIGUOUS	TWO_STAGE_EVIDENCE	UNRESOLVED_REGIONAL_CONFIGURATION	UNRESOLVED_REGIONAL_CONFIGURATION	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	53	22460957	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	5.0	0.0	0.604075	0.591587	0.417033	1.750278	-1.206556	-1.887783	0.0	0.980951	0.0	LD_DISTINCT_SUPPORTED	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	54	22460958	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	8.0	0.0	0.65023	nan	0.339468	2.327442	-1.006328	-0.091247	0.999902	1.8e-05	1.0	UNRESOLVED_SINGLE_SHARED_SIGNAL	TWO_STAGE_EVIDENCE	UNRESOLVED_SINGLE_SHARED_SIGNAL	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	55	22460959	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	8.0	0.0	0.66407	0.524116	0.027347	1.892116	1.639008	-2.048711	0.880147	0.052463	1.0	UNRESOLVED_SINGLE_SHARED_SIGNAL	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	UNRESOLVED_SINGLE_SHARED_SIGNAL	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	56	22460960	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	10.0	0.0	0.657662	0.522359	0.011336	3.014818	2.604262	-2.259628	0.98774	0.011725	2.0	OVERIDENTIFIED_SHARED_SIGNALS_ASSUMPTION_CONDITIONAL	TWO_STAGE_EVIDENCE	SUPPORTED_EXCLUSION_RESTRICTION_CONDITIONAL	SUPPORTED_SCALAR_DISPERSION_EXCLUSION_CONDITIONAL	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	57	22460961	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	6.0	0.0	0.47032	0.997679	0.239264	2.338567	-0.636964	-1.491671	0.999954	4.4e-05	3.0	OVERIDENTIFIED_SHARED_SIGNALS_ASSUMPTION_CONDITIONAL	TWO_STAGE_EVIDENCE	SUPPORTED_EXCLUSION_RESTRICTION_CONDITIONAL	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	58	22460962	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	6.0	0.0	0.646253	nan	0.429311	1.500808	-1.233353	-0.055369	0.997392	0.000245	1.0	UNRESOLVED_SINGLE_SHARED_SIGNAL	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_BAYES_EVIDENCE	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
mismatch_high_to_moderate	same_variant_pleiotropy	59	22460963	0.9	0.6	4000	1000	3	10	bd39c66663ca3d7b993ad4964f89344cff765be17d351df0153875c91cbbe193	1.0	6.0	8.0	0.0	0.693543	0.63584	0.103811	2.327292	0.263656	-2.295149	0.997497	0.000346	2.0	OVERIDENTIFIED_SHARED_SIGNALS_ASSUMPTION_CONDITIONAL	TWO_STAGE_EVIDENCE	SUPPORTED_EXCLUSION_RESTRICTION_CONDITIONAL	NO_TWO_STAGE_FREQUENTIST_EVIDENCE	NOT_SELECTED_BY_EBH
