scenario	replicate	proteins
scale_uncertainty	38	100
scale_uncertainty	39	100
scale_uncertainty	40	100
scale_uncertainty	41	100
scale_uncertainty	42	100
scale_uncertainty	43	100
scale_uncertainty	44	100
scale_uncertainty	45	100
scale_uncertainty	46	100
scale_uncertainty	47	100
scale_uncertainty	48	100
scale_uncertainty	49	100
scale_uncertainty	50	100
undeclared_overlap	1	100
undeclared_overlap	2	100
undeclared_overlap	3	100
undeclared_overlap	4	100
undeclared_overlap	5	100
undeclared_overlap	6	100
undeclared_overlap	7	100
undeclared_overlap	8	100
undeclared_overlap	9	100
undeclared_overlap	10	100
undeclared_overlap	11	100
undeclared_overlap	12	100
undeclared_overlap	13	100
undeclared_overlap	14	100
undeclared_overlap	15	100
undeclared_overlap	16	100
undeclared_overlap	17	100
undeclared_overlap	18	100
undeclared_overlap	19	100
undeclared_overlap	20	100
undeclared_overlap	21	100
undeclared_overlap	22	100
undeclared_overlap	23	100
undeclared_overlap	24	100
undeclared_overlap	25	100
undeclared_overlap	26	100
undeclared_overlap	27	100
undeclared_overlap	28	100
undeclared_overlap	29	100
undeclared_overlap	30	100
undeclared_overlap	31	100
undeclared_overlap	32	100
undeclared_overlap	33	100
undeclared_overlap	34	100
undeclared_overlap	35	100
undeclared_overlap	36	100
undeclared_overlap	37	100
undeclared_overlap	38	100
undeclared_overlap	39	100
undeclared_overlap	40	100
undeclared_overlap	41	100
undeclared_overlap	42	100
undeclared_overlap	43	100
undeclared_overlap	44	100
undeclared_overlap	45	100
undeclared_overlap	46	100
undeclared_overlap	47	100
undeclared_overlap	48	100
undeclared_overlap	49	100
undeclared_overlap	50	100
weak_paths	1	100
weak_paths	2	100
weak_paths	3	100
weak_paths	4	100
weak_paths	5	100
weak_paths	6	100
weak_paths	7	100
weak_paths	8	100
weak_paths	9	100
weak_paths	10	100
weak_paths	11	100
weak_paths	12	100
weak_paths	13	100
weak_paths	14	100
weak_paths	15	100
weak_paths	16	100
weak_paths	17	100
weak_paths	18	100
weak_paths	19	100
weak_paths	20	100
weak_paths	21	100
weak_paths	22	100
weak_paths	23	100
weak_paths	24	100
weak_paths	25	100
weak_paths	26	100
weak_paths	27	100
weak_paths	28	100
weak_paths	29	100
weak_paths	30	100
weak_paths	31	100
weak_paths	32	100
weak_paths	33	100
weak_paths	34	100
weak_paths	35	100
weak_paths	36	100
weak_paths	37	100
weak_paths	38	100
weak_paths	39	100
weak_paths	40	100
weak_paths	41	100
weak_paths	42	100
weak_paths	43	100
weak_paths	44	100
weak_paths	45	100
weak_paths	46	100
weak_paths	47	100
weak_paths	48	100
weak_paths	49	100
weak_paths	50	100
aligned_sensitivity	1	100
aligned_sensitivity	2	100
aligned_sensitivity	3	100
aligned_sensitivity	4	100
aligned_sensitivity	5	100
aligned_sensitivity	6	100
aligned_sensitivity	7	100
aligned_sensitivity	8	100
aligned_sensitivity	9	100
aligned_sensitivity	10	100
aligned_sensitivity	11	100
aligned_sensitivity	12	100
aligned_sensitivity	13	100
aligned_sensitivity	14	100
aligned_sensitivity	15	100
aligned_sensitivity	16	100
aligned_sensitivity	17	100
aligned_sensitivity	18	100
aligned_sensitivity	19	100
aligned_sensitivity	20	100
aligned_sensitivity	21	100
aligned_sensitivity	22	100
aligned_sensitivity	23	100
aligned_sensitivity	24	100
aligned_sensitivity	25	100
aligned_sensitivity	26	100
aligned_sensitivity	27	100
aligned_sensitivity	28	100
aligned_sensitivity	29	100
aligned_sensitivity	30	100
aligned_sensitivity	31	100
aligned_sensitivity	32	100
aligned_sensitivity	33	100
aligned_sensitivity	34	100
aligned_sensitivity	35	100
aligned_sensitivity	36	100
aligned_sensitivity	37	100
aligned_sensitivity	38	100
aligned_sensitivity	39	100
aligned_sensitivity	40	100
aligned_sensitivity	41	100
aligned_sensitivity	42	100
aligned_sensitivity	43	100
aligned_sensitivity	44	100
aligned_sensitivity	45	100
aligned_sensitivity	46	100
aligned_sensitivity	47	100
aligned_sensitivity	48	100
aligned_sensitivity	49	100
aligned_sensitivity	50	100
