scenario	replicates	correct	correct_rate	mean_PP_XM	mean_PP_global_MY	mean_PP_nonaligned_P	mean_PP_two_path	median_elapsed_seconds
coexistence	50	50	1	1	1	1	1	0.0690000000000008
mediation	50	50	1	0.999999999999995	0.999999999999995	0.0484322456478425	0.999999999999995	0.069
null	50	50	1	0.132231404958683	0.048338368580068	0.0483603202646053	0.00639185039075355	0.0699999999999998
pleiotropy	50	50	1	0.999999999999995	0.0519324918167207	0.999999999999995	0.0519324918167207	0.0690000000000008
