cell	method	threshold	replicates	mean_selected	mean_true_positive	mean_false_positive	mean_fdp	se_mean_fdp	q95_fdp	fdp_above_target_rate	pooled_fdp	mean_power	replicates_with_calls
broad_balanced	balanced_BY	0.05	200	39.99	39.77	0.22	0.00536794	0.000783468	0.0285714	0	0.00550138	0.791681	200
broad_balanced	balanced_BY	0.1	200	45.075	44.54	0.535	0.0119858	0.00119197	0.0445478	0	0.0118691	0.888608	200
broad_balanced	balanced_p2e_eBH	0.01	200	0.085	0.085	0	0	0	0	0	0	0.00178686	14
broad_balanced	balanced_p2e_eBH	0.05	200	4.985	4.985	0	0	0	0	0	0	0.0969391	139
broad_balanced	balanced_p2e_eBH	0.1	200	20.65	20.625	0.025	0.000914862	0.000407095	0	0	0.00121065	0.403426	194
broad_balanced	bayesian_FDR	0.01	200	0.285	0.285	0	0	0	0	0	0	0.00562003	43
broad_balanced	bayesian_FDR	0.05	200	11.57	11.57	0	0	0	0	0	0	0.230165	198
broad_balanced	bayesian_FDR	0.1	200	27.835	27.82	0.015	0.00057724	0.000335433	0	0	0.00053889	0.554543	200
broad_balanced	directional_BY	0.01	200	0	0	0	0	0	0	0	0	0	0
broad_balanced	directional_BY	0.05	200	0	0	0	0	0	0	0	0	0	0
broad_balanced	directional_BY	0.1	200	0	0	0	0	0	0	0	0	0	0
broad_balanced	directional_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
broad_balanced	directional_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
broad_balanced	directional_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
dense_cross_protein_dependence	adaptive_eBH	0.01	200	0	0	0	0	0	0	0	0	0	0
dense_cross_protein_dependence	adaptive_eBH	0.05	200	0	0	0	0	0	0	0	0	0	0
dense_cross_protein_dependence	adaptive_eBH	0.1	200	0	0	0	0	0	0	0	0	0	0
dense_cross_protein_dependence	balanced_AdaFilter	0.01	200	7.725	7.69	0.035	0.0045612	0.0020799	0	0.035	0.00453074	0.149929	172
dense_cross_protein_dependence	balanced_AdaFilter	0.05	200	34.525	33.31	1.215	0.0324954	0.0023061	0.0862363	0.28	0.0351919	0.659411	199
